id,admission_id,amount,method
1,1,1905.61€,check
2,2,4909.56€,check
3,3,1586.04€,pending
4,4,4696.34€,pending
5,5,2333.6€,cash
6,6,584.82€,cash
7,7,1781.45€,CB
8,8,4250.97€,cash
9,9,3541.7€,pending
10,10,3618.25€,check
11,11,2507.7€,cash
12,12,4201.39€,transfer
13,13,4543.75€,pending
14,14,4610.62€,cash
15,15,4282.94€,cash
16,16,3869.97€,check
17,17,1625.63€,check
18,18,3684.22€,check
19,19,1349.32€,pending
20,20,4210.78€,check
21,21,241.78€,pending
22,22,3312.28€,cash
23,23,2582.48€,cash
24,24,1740.86€,cash
25,25,3580.55€,transfer
26,26,4765.8€,pending
27,27,1479.05€,CB
28,28,2832.56€,transfer
29,29,3222.47€,pending
30,30,383.34€,CB
31,31,3784.53€,transfer
32,32,3560.74€,CB
33,33,4002.74€,cash
34,34,713.36€,cash
35,35,503.25€,pending
36,36,2889.08€,pending
37,37,1785.7€,pending
38,38,1795.51€,check
39,39,3367.17€,pending
40,40,2441.41€,pending
41,41,1142.56€,check
42,42,3596.31€,pending
43,43,455.84€,check
44,44,2756.68€,transfer
45,45,4622.86€,CB
46,46,2018.0€,CB
47,47,1911.6€,transfer
48,48,2661.47€,CB
49,49,4022.35€,cash
50,50,3484.01€,cash
51,51,4758.08€,cash
52,52,2699.26€,check
53,53,3393.64€,cash
54,54,2214.65€,CB
55,55,2494.66€,transfer
56,56,602.82€,CB
57,57,2123.31€,pending
58,58,1670.49€,check
59,59,3057.73€,check
60,60,2072.56€,CB
61,61,3087.32€,cash
62,62,1017.14€,CB
63,63,1117.32€,transfer
64,64,1678.11€,CB
65,65,1856.85€,pending
66,66,3447.18€,check
67,67,4150.26€,CB
68,68,4209.21€,cash
69,69,1606.07€,check
70,70,3664.42€,check
71,71,2990.96€,cash
72,72,3440.96€,pending
73,73,1524.08€,pending
74,74,1214.1€,check
75,75,3640.43€,check
76,76,746.02€,pending
77,77,1759.29€,check
78,78,1523.31€,check
79,79,1145.8€,cash
80,80,1033.77€,pending
81,81,2745.7€,pending
82,82,4198.81€,transfer
83,83,736.33€,transfer
84,84,1796.42€,transfer
85,85,458.13€,CB
86,86,4675.17€,CB
87,87,4171.66€,transfer
88,88,2624.9€,transfer
89,89,443.37€,CB
90,90,3862.35€,check
91,91,4118.74€,cash
92,92,3539.45€,cash
93,93,3686.2€,transfer
94,94,1451.78€,pending
95,95,618.68€,pending
96,96,2664.34€,pending
97,97,3397.52€,check
98,98,1589.3€,pending
99,99,706.87€,check
100,100,4771.66€,transfer
101,101,1939.33€,cash
102,102,4975.44€,pending
103,103,1041.27€,pending
104,104,1638.91€,check
105,105,3823.87€,transfer
106,106,4614.08€,pending
107,107,1727.03€,check
108,108,832.33€,check
109,109,1616.04€,check
110,110,2384.42€,check
111,111,1091.14€,transfer
112,112,1326.64€,pending
113,113,3365.94€,pending
114,114,752.4€,pending
115,115,2842.51€,pending
116,116,658.43€,transfer
117,117,2006.7€,transfer
118,118,3254.59€,cash
119,119,379.1€,transfer
120,120,2133.04€,CB
121,121,2974.25€,check
122,122,2251.05€,cash
123,123,1757.24€,pending
124,124,2035.21€,transfer
125,125,1582.18€,CB
126,126,415.77€,pending
127,127,1923.22€,check
128,128,4873.25€,transfer
129,129,3118.67€,pending
130,130,1592.07€,pending
131,131,472.2€,check
132,132,1748.41€,cash
133,133,3389.16€,check
134,134,339.76€,CB
135,135,202.9€,transfer
136,136,973.74€,pending
137,137,1771.95€,transfer
138,138,1562.37€,CB
139,139,3871.29€,check
140,140,4310.07€,CB
141,141,1439.02€,pending
142,142,2280.64€,cash
143,143,924.84€,cash
144,144,2124.63€,CB
145,145,2378.81€,transfer
146,146,3014.55€,cash
147,147,2575.78€,pending
148,148,1428.24€,check
149,149,1619.1€,CB
150,150,4293.4€,check
151,151,4232.68€,pending
152,152,1491.36€,pending
153,153,1943.61€,pending
154,154,4437.02€,pending
155,155,2047.9€,cash
156,156,2574.32€,CB
157,157,4183.43€,pending
158,158,4851.88€,pending
159,159,1037.66€,check
160,160,3178.77€,check
161,161,4864.29€,CB
162,162,4976.63€,transfer
163,163,1227.75€,CB
164,164,488.05€,CB
165,165,1642.37€,pending
166,166,3306.4€,cash
167,167,2224.47€,check
168,168,3577.42€,transfer
169,169,1214.93€,cash
170,170,2400.28€,cash
171,171,679.96€,transfer
172,172,3666.74€,check
173,173,2171.25€,check
174,174,1576.43€,transfer
175,175,4832.88€,cash
176,176,4272.09€,transfer
177,177,3037.82€,transfer
178,178,1059.16€,transfer
179,179,4811.36€,pending
180,180,2516.13€,cash
181,181,1504.3€,pending
182,182,3668.73€,transfer
183,183,346.71€,CB
184,184,1777.21€,pending
185,185,1229.59€,check
186,186,1881.88€,CB
187,187,1564.48€,pending
188,188,1162.91€,pending
189,189,710.64€,CB
190,190,2772.94€,pending
191,191,2062.08€,cash
192,192,2498.12€,pending
193,193,2041.41€,CB
194,194,1206.25€,transfer
195,195,3982.39€,cash
196,196,3351.77€,transfer
197,197,4443.22€,cash
198,198,1184.63€,check
199,199,4764.4€,pending
200,200,4240.17€,transfer
201,201,2676.24€,pending
202,202,3896.53€,check
203,203,4215.68€,pending
204,204,4265.06€,transfer
205,205,2018.44€,pending
206,206,2889.69€,CB
207,207,1707.85€,check
208,208,4152.84€,transfer
209,209,4421.0€,cash
210,210,2605.29€,cash
211,211,1543.5€,pending
212,212,306.48€,CB
213,213,3220.59€,pending
214,214,3931.8€,check
215,215,2498.65€,check
216,216,339.89€,cash
217,217,1880.17€,pending
218,218,4131.73€,cash
219,219,1665.97€,transfer
220,220,3639.02€,transfer
221,221,3029.82€,check
222,222,2148.67€,cash
223,223,4440.32€,cash
224,224,2818.57€,cash
225,225,2039.51€,check
226,226,4914.24€,CB
227,227,2446.58€,cash
228,228,2545.37€,CB
229,229,4610.72€,pending
230,230,4789.7€,transfer
231,231,4589.8€,cash
232,232,4799.52€,CB
233,233,1171.64€,cash
234,234,1696.57€,cash
235,235,392.08€,pending
236,236,4428.57€,pending
237,237,4988.0€,transfer
238,238,673.97€,transfer
239,239,3775.18€,transfer
240,240,2338.7€,CB
241,241,3999.89€,transfer
242,242,2661.48€,pending
243,243,2235.88€,pending
244,244,4884.29€,check
245,245,1927.54€,transfer
246,246,1836.66€,check
247,247,2311.42€,cash
248,248,1453.69€,pending
249,249,3714.55€,transfer
250,250,462.09€,transfer
251,251,652.65€,transfer
252,252,693.64€,pending
253,253,3012.82€,pending
254,254,4931.2€,CB
255,255,4166.9€,CB
256,256,4840.82€,pending
257,257,207.43€,check
258,258,3457.55€,pending
259,259,3808.61€,check
260,260,4993.72€,pending
261,261,4455.47€,transfer
262,262,659.97€,check
263,263,1272.62€,cash
264,264,2074.95€,cash
265,265,4572.89€,pending
266,266,2145.86€,cash
267,267,3898.06€,cash
268,268,3024.56€,CB
269,269,1633.94€,pending
270,270,2613.33€,CB
271,271,3061.36€,pending
272,272,2270.5€,cash
273,273,1599.17€,transfer
274,274,1872.26€,transfer
275,275,4556.22€,pending
276,276,1448.77€,cash
277,277,2552.21€,transfer
278,278,3251.33€,check
279,279,1102.68€,check
280,280,1207.7€,cash
281,281,2775.35€,check
282,282,1858.38€,transfer
283,283,3873.82€,CB
284,284,1903.65€,CB
285,285,3489.85€,cash
286,286,4712.7€,transfer
287,287,2910.05€,CB
288,288,2063.7€,cash
289,289,3680.38€,cash
290,290,4316.7€,pending
291,291,3483.51€,pending
292,292,2408.3€,transfer
293,293,3136.47€,check
294,294,4621.62€,CB
295,295,4733.56€,transfer
296,296,3096.59€,transfer
297,297,3041.28€,check
298,298,2750.14€,cash
299,299,2159.15€,transfer
300,300,4416.36€,transfer
301,301,2732.8€,transfer
302,302,514.89€,pending
303,303,2713.5€,transfer
304,304,1708.12€,transfer
305,305,3129.17€,check
306,306,4209.4€,pending
307,307,3922.15€,check
308,308,3538.44€,pending
309,309,1168.91€,transfer
310,310,816.41€,CB
311,311,4155.54€,cash
312,312,2536.66€,transfer
313,313,677.23€,transfer
314,314,1137.12€,CB
315,315,1017.6€,transfer
316,316,4383.4€,pending
317,317,4419.99€,check
318,318,961.28€,CB
319,319,3464.67€,transfer
320,320,2307.55€,cash
321,321,1116.43€,check
322,322,2933.24€,cash
323,323,3304.16€,CB
324,324,1728.89€,cash
325,325,588.34€,CB
326,326,460.83€,CB
327,327,1558.32€,check
328,328,4508.71€,cash
329,329,2006.86€,CB
330,330,1168.73€,cash
331,331,3517.6€,pending
332,332,4288.71€,CB
333,333,958.56€,pending
334,334,2463.77€,transfer
335,335,4966.6€,transfer
336,336,395.4€,CB
337,337,1937.61€,pending
338,338,591.95€,transfer
339,339,3549.91€,pending
340,340,3925.78€,check
341,341,126.62€,cash
342,342,3177.14€,transfer
343,343,3028.08€,check
344,344,1900.03€,CB
345,345,4306.79€,cash
346,346,2487.57€,pending
347,347,1484.18€,CB
348,348,1406.4€,CB
349,349,1460.96€,cash
350,350,568.89€,pending
351,351,3947.66€,cash
352,352,2165.87€,CB
353,353,633.65€,pending
354,354,4863.53€,pending
355,355,2027.52€,pending
356,356,4732.77€,cash
357,357,4537.94€,check
358,358,2835.22€,pending
359,359,4733.79€,transfer
360,360,3038.89€,pending
361,361,1326.53€,pending
362,362,3571.97€,transfer
363,363,4403.08€,cash
364,364,2649.45€,CB
365,365,3620.29€,CB
366,366,2585.77€,cash
367,367,3039.12€,transfer
368,368,1756.01€,cash
369,369,1782.56€,CB
370,370,153.11€,check
371,371,4391.48€,pending
372,372,3876.51€,transfer
373,373,685.75€,CB
374,374,2638.64€,transfer
375,375,3550.56€,transfer
376,376,2476.95€,check
377,377,4881.08€,cash
378,378,3446.7€,pending
379,379,4112.67€,CB
380,380,3207.08€,check
381,381,1102.35€,cash
382,382,2055.15€,CB
383,383,3493.61€,cash
384,384,4239.77€,check
385,385,910.01€,CB
386,386,1922.33€,transfer
387,387,4538.93€,transfer
388,388,3064.08€,cash
389,389,1010.05€,CB
390,390,1044.82€,cash
391,391,1241.47€,CB
392,392,3440.97€,pending
393,393,2874.52€,transfer
394,394,331.71€,cash
395,395,3529.71€,cash
396,396,4663.66€,cash
397,397,408.03€,cash
398,398,882.78€,CB
399,399,2204.63€,pending
400,400,530.11€,cash
401,401,3634.82€,transfer
402,402,2443.87€,pending
403,403,296.03€,CB
404,404,2292.42€,CB
405,405,3203.13€,check
406,406,4545.76€,transfer
407,407,3220.49€,cash
408,408,508.83€,transfer
409,409,734.68€,transfer
410,410,2937.87€,cash
411,411,4098.53€,transfer
412,412,1049.83€,CB
413,413,3087.71€,transfer
414,414,1361.97€,CB
415,415,1510.17€,pending
416,416,3521.39€,check
417,417,3937.5€,CB
418,418,1496.27€,transfer
419,419,3471.52€,CB
420,420,4332.64€,cash
421,421,2998.45€,pending
422,422,790.19€,pending
423,423,2380.0€,pending
424,424,368.34€,check
425,425,726.98€,CB
426,426,1746.83€,cash
427,427,4886.82€,pending
428,428,2717.32€,cash
429,429,2497.41€,CB
430,430,706.64€,CB
431,431,1605.54€,cash
432,432,3010.54€,cash
433,433,3088.63€,transfer
434,434,3412.27€,check
435,435,2544.3€,pending
436,436,525.1€,transfer
437,437,544.77€,transfer
438,438,3442.14€,CB
439,439,2934.82€,pending
440,440,2905.36€,cash
441,441,3444.98€,CB
442,442,3414.6€,transfer
443,443,4474.34€,pending
444,444,1624.36€,cash
445,445,292.98€,CB
446,446,1613.82€,transfer
447,447,2795.81€,cash
448,448,4698.52€,CB
449,449,3033.49€,cash
450,450,245.77€,transfer
451,451,1398.47€,pending
452,452,3626.31€,transfer
453,453,3822.43€,pending
454,454,355.98€,cash
455,455,4548.11€,check
456,456,1416.68€,pending
457,457,1230.98€,pending
458,458,3589.32€,CB
459,459,4042.32€,cash
460,460,3318.65€,pending
461,461,4389.91€,CB
462,462,2873.28€,pending
463,463,3159.09€,CB
464,464,2174.0€,transfer
465,465,3562.27€,pending
466,466,3124.43€,transfer
467,467,3319.9€,transfer
468,468,1136.76€,CB
469,469,3938.05€,transfer
470,470,4481.17€,cash
471,471,2305.31€,CB
472,472,3255.37€,CB
473,473,647.47€,transfer
474,474,4872.29€,transfer
475,475,1148.73€,CB
476,476,1071.61€,check
477,477,2705.75€,check
478,478,2422.19€,transfer
479,479,142.38€,check
480,480,1801.84€,cash
481,481,2177.1€,pending
482,482,1971.7€,pending
483,483,606.18€,check
484,484,1057.18€,cash
485,485,2892.33€,CB
486,486,3263.8€,CB
487,487,948.58€,check
488,488,1152.46€,check
489,489,948.65€,transfer
490,490,2123.0€,transfer
491,491,387.39€,pending
492,492,3337.95€,pending
493,493,247.58€,CB
494,494,1404.22€,cash
495,495,1968.92€,check
496,496,2519.77€,CB
497,497,3331.16€,check
498,498,4847.27€,check
499,499,900.11€,check
500,500,1313.91€,pending
501,501,1767.59€,transfer
502,502,1106.05€,CB
503,503,4702.55€,CB
504,504,1696.57€,cash
505,505,490.52€,cash
506,506,1060.5€,transfer
507,507,1080.41€,check
508,508,896.92€,transfer
509,509,1175.66€,transfer
510,510,3197.75€,CB
511,511,1829.74€,transfer
512,512,1739.79€,pending
513,513,3917.19€,pending
514,514,4918.55€,pending
515,515,467.34€,cash
516,516,725.87€,transfer
517,517,3823.15€,pending
518,518,4178.64€,pending
519,519,3094.3€,transfer
520,520,4355.85€,CB
521,521,2333.12€,CB
522,522,1602.84€,transfer
523,523,2560.3€,check
524,524,1563.17€,pending
525,525,1188.87€,check
526,526,1666.41€,pending
527,527,1109.56€,transfer
528,528,1262.73€,pending
529,529,1658.41€,CB
530,530,1629.34€,cash
531,531,4042.59€,check
532,532,3136.54€,check
533,533,4922.53€,pending
534,534,987.73€,cash
535,535,2598.16€,pending
536,536,682.67€,CB
537,537,4529.71€,check
538,538,318.17€,cash
539,539,4596.28€,pending
540,540,4022.34€,CB
541,541,4035.23€,CB
542,542,852.98€,check
543,543,4748.58€,transfer
544,544,2822.55€,cash
545,545,1407.79€,check
546,546,1545.65€,CB
547,547,3772.34€,check
548,548,1354.6€,pending
549,549,3589.4€,cash
550,550,3448.3€,transfer
551,551,2843.42€,CB
552,552,1584.74€,transfer
553,553,2443.17€,pending
554,554,1006.65€,check
555,555,354.06€,transfer
556,556,2979.93€,check
557,557,902.89€,CB
558,558,3341.44€,pending
559,559,2341.72€,check
560,560,4247.61€,pending
561,561,4727.22€,transfer
562,562,2560.99€,cash
563,563,1302.91€,cash
564,564,3075.92€,CB
565,565,4131.45€,check
566,566,1793.32€,cash
567,567,1608.03€,pending
568,568,362.05€,CB
569,569,4425.2€,cash
570,570,2094.06€,cash
571,571,350.08€,pending
572,572,847.94€,transfer
573,573,335.59€,cash
574,574,2299.56€,pending
575,575,2689.06€,cash
576,576,529.55€,check
577,577,3651.82€,cash
578,578,4465.26€,cash
579,579,3538.81€,transfer
580,580,2196.32€,cash
581,581,396.35€,CB
582,582,2568.35€,check
583,583,3509.33€,CB
584,584,4145.28€,pending
585,585,340.52€,pending
586,586,1656.53€,pending
587,587,3300.19€,cash
588,588,2903.11€,transfer
589,589,3945.98€,cash
590,590,3178.37€,transfer
591,591,4745.66€,transfer
592,592,4973.91€,transfer
593,593,2313.35€,cash
594,594,2878.58€,cash
595,595,3748.21€,transfer
596,596,333.3€,check
597,597,2384.3€,check
598,598,723.6€,cash
599,599,4904.06€,check
600,600,2412.8€,transfer
601,601,2972.47€,pending
602,602,3485.95€,CB
603,603,3417.44€,cash
604,604,2860.43€,CB
605,605,3058.37€,cash
606,606,612.56€,cash
607,607,1175.4€,check
608,608,3997.73€,cash
609,609,2753.66€,CB
610,610,4613.37€,pending
611,611,148.13€,cash
612,612,1514.66€,transfer
613,613,3185.86€,check
614,614,710.13€,transfer
615,615,3792.79€,transfer
616,616,3041.54€,cash
617,617,2371.4€,transfer
618,618,507.57€,transfer
619,619,2354.5€,CB
620,620,439.59€,check
621,621,279.84€,pending
622,622,314.11€,pending
623,623,1289.39€,cash
624,624,2896.94€,check
625,625,2799.5€,CB
626,626,1869.8€,pending
627,627,837.73€,cash
628,628,2708.31€,CB
629,629,421.37€,check
630,630,4102.96€,CB
631,631,2652.11€,pending
632,632,3621.52€,check
633,633,3555.86€,CB
634,634,868.58€,CB
635,635,4493.18€,transfer
636,636,2625.62€,cash
637,637,2072.79€,check
638,638,244.39€,transfer
639,639,3217.29€,transfer
640,640,3650.89€,cash
641,641,3467.08€,cash
642,642,720.77€,cash
643,643,920.1€,cash
644,644,4977.56€,check
645,645,836.19€,transfer
646,646,695.27€,cash
647,647,1287.67€,check
648,648,3532.59€,transfer
649,649,3859.69€,cash
650,650,4940.87€,check
651,651,3348.52€,cash
652,652,4421.7€,CB
653,653,4012.5€,pending
654,654,3631.5€,pending
655,655,3356.74€,CB
656,656,672.74€,pending
657,657,4622.88€,CB
658,658,4852.25€,transfer
659,659,3776.06€,transfer
660,660,4402.47€,transfer
661,661,1695.55€,CB
662,662,766.95€,cash
663,663,3938.75€,cash
664,664,2629.07€,transfer
665,665,686.66€,pending
666,666,619.31€,pending
667,667,1459.94€,cash
668,668,2817.16€,CB
669,669,3266.61€,check
670,670,4128.21€,check
671,671,4266.36€,check
672,672,2157.48€,cash
673,673,3774.41€,CB
674,674,4012.2€,transfer
675,675,164.96€,check
676,676,2006.02€,cash
677,677,690.8€,pending
678,678,676.03€,check
679,679,4355.17€,pending
680,680,3873.42€,cash
681,681,3647.82€,cash
682,682,2406.55€,CB
683,683,1300.77€,pending
684,684,2678.61€,transfer
685,685,4409.08€,check
686,686,4583.36€,cash
687,687,3573.14€,transfer
688,688,3251.21€,transfer
689,689,2221.7€,check
690,690,4921.84€,CB
691,691,3012.33€,pending
692,692,1507.73€,CB
693,693,2217.09€,transfer
694,694,4333.28€,pending
695,695,1755.93€,cash
696,696,2718.58€,pending
697,697,253.75€,pending
698,698,1875.1€,transfer
699,699,3209.79€,check
700,700,4358.77€,cash
701,701,2845.08€,cash
702,702,1493.85€,CB
703,703,2111.47€,pending
704,704,1439.13€,transfer
705,705,883.32€,transfer
706,706,3693.81€,check
707,707,1409.74€,check
708,708,2700.69€,cash
709,709,1195.28€,pending
710,710,1969.39€,transfer
711,711,3305.22€,cash
712,712,3184.14€,transfer
713,713,431.77€,cash
714,714,4054.13€,check
715,715,4415.97€,pending
716,716,1869.6€,transfer
717,717,1362.79€,pending
718,718,2760.17€,pending
719,719,394.88€,pending
720,720,2931.78€,transfer
721,721,2770.13€,cash
722,722,3663.48€,check
723,723,4976.63€,cash
724,724,4600.61€,transfer
725,725,2980.2€,check
726,726,4626.44€,CB
727,727,690.93€,transfer
728,728,2937.19€,cash
729,729,1687.96€,check
730,730,1923.42€,check
731,731,3768.95€,check
732,732,4145.91€,pending
733,733,3351.09€,check
734,734,1501.11€,transfer
735,735,585.6€,cash
736,736,3063.56€,cash
737,737,2575.63€,check
738,738,2509.52€,cash
739,739,917.47€,check
740,740,3922.96€,pending
741,741,504.83€,cash
742,742,3050.32€,CB
743,743,422.31€,CB
744,744,4201.3€,check
745,745,514.33€,cash
746,746,1047.09€,cash
747,747,703.0€,cash
748,748,1659.46€,cash
749,749,317.73€,transfer
750,750,4229.01€,cash
751,751,3694.72€,CB
752,752,3790.13€,transfer
753,753,2289.37€,transfer
754,754,502.07€,CB
755,755,2346.41€,transfer
756,756,2165.85€,CB
757,757,994.38€,pending
758,758,1774.54€,CB
759,759,2797.3€,check
760,760,4610.99€,check
761,761,1986.27€,pending
762,762,1641.03€,cash
763,763,3580.29€,transfer
764,764,883.47€,check
765,765,3661.04€,cash
766,766,2681.94€,pending
767,767,1117.67€,cash
768,768,546.58€,CB
769,769,2994.79€,CB
770,770,4749.91€,transfer
771,771,3145.18€,cash
772,772,1772.29€,pending
773,773,2975.61€,pending
774,774,3123.36€,check
775,775,3691.03€,check
776,776,2038.53€,CB
777,777,1891.06€,CB
778,778,3438.08€,transfer
779,779,2817.26€,pending
780,780,4654.89€,check
781,781,2038.45€,pending
782,782,1807.67€,CB
783,783,3219.11€,transfer
784,784,4672.64€,pending
785,785,2150.23€,pending
786,786,3887.46€,pending
787,787,4021.45€,cash
788,788,1536.49€,cash
789,789,254.08€,transfer
790,790,1870.15€,transfer
791,791,1107.82€,cash
792,792,1501.6€,cash
793,793,435.57€,CB
794,794,2346.2€,check
795,795,921.96€,CB
796,796,3898.5€,check
797,797,2531.33€,CB
798,798,4619.45€,CB
799,799,4977.37€,pending
800,800,2094.46€,CB
801,801,1564.68€,pending
802,802,1868.44€,transfer
803,803,3520.53€,transfer
804,804,3407.05€,transfer
805,805,218.14€,transfer
806,806,4909.07€,pending
807,807,3426.49€,cash
808,808,704.25€,cash
809,809,1974.43€,check
810,810,4208.09€,CB
811,811,3532.66€,cash
812,812,4543.0€,transfer
813,813,3077.97€,pending
814,814,4475.82€,check
815,815,2567.17€,pending
816,816,4429.74€,transfer
817,817,2800.99€,CB
818,818,1812.31€,CB
819,819,3948.56€,transfer
820,820,2776.62€,pending
821,821,3799.83€,transfer
822,822,4363.05€,cash
823,823,4634.18€,pending
824,824,650.46€,CB
825,825,3971.9€,check
826,826,4514.37€,check
827,827,1403.91€,CB
828,828,2725.43€,cash
829,829,569.68€,pending
830,830,1860.52€,pending
831,831,1311.3€,check
832,832,3404.56€,CB
833,833,285.57€,check
834,834,4529.72€,check
835,835,4856.54€,check
836,836,1457.8€,CB
837,837,4842.92€,CB
838,838,349.19€,check
839,839,4253.5€,transfer
840,840,3841.07€,pending
841,841,3667.78€,CB
842,842,4921.0€,check
843,843,2336.6€,transfer
844,844,160.02€,cash
845,845,4925.2€,CB
846,846,4217.84€,transfer
847,847,161.19€,cash
848,848,1779.58€,check
849,849,1362.56€,cash
850,850,1352.49€,cash
851,851,1838.84€,cash
852,852,872.9€,check
853,853,143.35€,transfer
854,854,266.25€,transfer
855,855,1595.0€,pending
856,856,1525.47€,pending
857,857,3609.87€,check
858,858,3807.34€,cash
859,859,2281.95€,cash
860,860,4574.54€,transfer
861,861,4911.57€,CB
862,862,3111.39€,CB
863,863,1739.44€,check
864,864,4461.24€,CB
865,865,3437.91€,CB
866,866,4741.33€,cash
867,867,3697.57€,transfer
868,868,2117.17€,cash
869,869,1076.07€,check
870,870,839.98€,transfer
871,871,3866.7€,check
872,872,2809.9€,check
873,873,4657.55€,pending
874,874,2751.9€,CB
875,875,4956.01€,cash
876,876,497.81€,cash
877,877,2895.84€,check
878,878,4286.57€,pending
879,879,2528.64€,CB
880,880,4381.86€,CB
881,881,4970.94€,pending
882,882,1642.84€,pending
883,883,209.36€,check
884,884,2782.18€,transfer
885,885,1392.35€,transfer
886,886,2352.94€,pending
887,887,4577.65€,cash
888,888,3470.41€,cash
889,889,1076.14€,check
890,890,4420.12€,cash
891,891,4124.99€,CB
892,892,1210.47€,cash
893,893,1199.68€,transfer
894,894,1114.6€,pending
895,895,2090.7€,pending
896,896,2065.52€,check
897,897,211.07€,check
898,898,1818.86€,CB
899,899,4321.6€,transfer
900,900,1076.83€,cash
901,901,3149.73€,transfer
902,902,4236.36€,cash
903,903,1970.65€,pending
904,904,2180.45€,check
905,905,4251.19€,cash
906,906,2857.18€,cash
907,907,135.01€,transfer
908,908,1942.78€,pending
909,909,2065.68€,pending
910,910,3654.64€,check
911,911,3928.89€,pending
912,912,1414.37€,check
913,913,2395.16€,CB
914,914,4766.62€,transfer
915,915,838.04€,transfer
916,916,1142.86€,check
917,917,3126.64€,transfer
918,918,2795.38€,pending
919,919,4291.77€,CB
920,920,3035.39€,cash
921,921,3080.14€,check
922,922,1161.99€,CB
923,923,2648.67€,pending
924,924,2142.77€,transfer
925,925,3653.62€,pending
926,926,1797.43€,CB
927,927,240.11€,pending
928,928,2928.99€,transfer
929,929,1836.05€,cash
930,930,4566.07€,CB
931,931,2155.56€,pending
932,932,2542.29€,pending
933,933,3439.37€,CB
934,934,4229.22€,CB
935,935,935.55€,check
936,936,3078.77€,cash
937,937,1333.6€,cash
938,938,523.2€,CB
939,939,3467.52€,CB
940,940,2679.73€,pending
941,941,1953.58€,pending
942,942,365.7€,pending
943,943,598.01€,CB
944,944,3495.3€,pending
945,945,848.91€,CB
946,946,764.64€,cash
947,947,3188.42€,cash
948,948,4060.65€,CB
949,949,4550.38€,cash
950,950,1179.56€,pending
951,951,4209.57€,cash
952,952,4218.36€,pending
953,953,3100.53€,check
954,954,3083.1€,check
955,955,481.56€,cash
956,956,2036.53€,cash
957,957,2440.8€,check
958,958,1681.42€,pending
959,959,2056.29€,pending
960,960,2147.34€,cash
961,961,4517.51€,CB
962,962,3476.99€,CB
963,963,4470.09€,check
964,964,1064.29€,check
965,965,3983.63€,cash
966,966,1786.18€,CB
967,967,2207.32€,pending
968,968,3835.8€,cash
969,969,4391.15€,CB
970,970,4781.61€,transfer
971,971,3728.07€,cash
972,972,2886.98€,transfer
973,973,276.94€,pending
974,974,2598.95€,CB
975,975,4701.8€,pending
976,976,4570.92€,CB
977,977,3703.85€,transfer
978,978,280.08€,check
979,979,2078.75€,transfer
980,980,2555.92€,check
981,981,3279.55€,pending
982,982,447.57€,cash
983,983,831.55€,cash
984,984,4408.6€,cash
985,985,2849.34€,CB
986,986,4936.02€,pending
987,987,1618.84€,pending
988,988,1064.55€,transfer
989,989,4418.84€,CB
990,990,1124.17€,cash
991,991,4489.23€,check
992,992,2013.34€,transfer
993,993,3919.96€,cash
994,994,1493.08€,transfer
995,995,1232.64€,pending
996,996,198.53€,pending
997,997,3835.62€,CB
998,998,4012.43€,check
999,999,3847.96€,CB
1000,1000,3821.34€,cash
1001,1001,4889.43€,pending
1002,1002,2237.76€,CB
1003,1003,3167.65€,CB
1004,1004,4918.21€,transfer
1005,1005,2269.14€,check
1006,1006,3913.42€,CB
1007,1007,4521.56€,transfer
1008,1008,2405.34€,pending
1009,1009,1359.01€,transfer
1010,1010,1425.28€,CB
1011,1011,4987.24€,CB
1012,1012,1169.36€,CB
1013,1013,2983.2€,check
1014,1014,3783.76€,pending
1015,1015,681.54€,pending
1016,1016,3938.97€,CB
1017,1017,4068.76€,CB
1018,1018,791.58€,transfer
1019,1019,2787.3€,pending
1020,1020,2930.67€,CB
1021,1021,2430.32€,cash
1022,1022,3659.4€,pending
1023,1023,800.27€,CB
1024,1024,320.52€,pending
1025,1025,4642.81€,transfer
1026,1026,1959.7€,transfer
1027,1027,2685.64€,transfer
1028,1028,1431.01€,CB
